Header,Date,Currency,Rate
US Dollar Exchange Rates Table,"May 12, 2023 08:09 UTC",Euro,0.916793
US Dollar Exchange Rates Table,"May 12, 2023 08:09 UTC",British Pound,0.798719
US Dollar Exchange Rates Table,"May 12, 2023 08:09 UTC",Indian Rupee,82.213151
US Dollar Exchange Rates Table,"May 12, 2023 08:09 UTC",Australian Dollar,1.495331
US Dollar Exchange Rates Table,"May 12, 2023 08:09 UTC",Canadian Dollar,1.349434
US Dollar Exchange Rates Table,"May 12, 2023 08:09 UTC",Singapore Dollar,1.333290
US Dollar Exchange Rates Table,"May 12, 2023 08:09 UTC",Swiss Franc,0.892367
US Dollar Exchange Rates Table,"May 12, 2023 08:09 UTC",Malaysian Ringgit,4.475155
US Dollar Exchange Rates Table,"May 12, 2023 08:09 UTC",Japanese Yen,134.777292
US Dollar Exchange Rates Table,"May 12, 2023 08:09 UTC",Chinese Yuan Renminbi,6.947763
Header,Date,Currency,Rate
Euro Exchange Rates Table,"May 12, 2023 08:09 UTC",US Dollar,1.090759
Euro Exchange Rates Table,"May 12, 2023 08:09 UTC",British Pound,0.871211
Euro Exchange Rates Table,"May 12, 2023 08:09 UTC",Indian Rupee,89.674761
Euro Exchange Rates Table,"May 12, 2023 08:09 UTC",Australian Dollar,1.631046
Euro Exchange Rates Table,"May 12, 2023 08:09 UTC",Canadian Dollar,1.471908
Euro Exchange Rates Table,"May 12, 2023 08:09 UTC",Singapore Dollar,1.454298
Euro Exchange Rates Table,"May 12, 2023 08:09 UTC",Swiss Franc,0.973357
Euro Exchange Rates Table,"May 12, 2023 08:09 UTC",Malaysian Ringgit,4.881317
Euro Exchange Rates Table,"May 12, 2023 08:09 UTC",Japanese Yen,147.009587
Euro Exchange Rates Table,"May 12, 2023 08:09 UTC",Chinese Yuan Renminbi,7.578337
Header,Date,Currency,Rate
British Pound Exchange Rates Table,"May 12, 2023 08:09 UTC",US Dollar,1.252004
British Pound Exchange Rates Table,"May 12, 2023 08:09 UTC",Euro,1.147828
British Pound Exchange Rates Table,"May 12, 2023 08:09 UTC",Indian Rupee,102.931220
British Pound Exchange Rates Table,"May 12, 2023 08:09 UTC",Australian Dollar,1.872161
British Pound Exchange Rates Table,"May 12, 2023 08:09 UTC",Canadian Dollar,1.689498
British Pound Exchange Rates Table,"May 12, 2023 08:09 UTC",Singapore Dollar,1.669284
British Pound Exchange Rates Table,"May 12, 2023 08:09 UTC",Swiss Franc,1.117247
British Pound Exchange Rates Table,"May 12, 2023 08:09 UTC",Malaysian Ringgit,5.602913
British Pound Exchange Rates Table,"May 12, 2023 08:09 UTC",Japanese Yen,168.741750
British Pound Exchange Rates Table,"May 12, 2023 08:09 UTC",Chinese Yuan Renminbi,8.698629
Header,Date,Currency,Rate
US Dollar Exchange Rates Table,"May 23, 2023 09:40 UTC",Euro,0.927299
US Dollar Exchange Rates Table,"May 23, 2023 09:40 UTC",British Pound,0.807431
US Dollar Exchange Rates Table,"May 23, 2023 09:40 UTC",Indian Rupee,82.822664
US Dollar Exchange Rates Table,"May 23, 2023 09:40 UTC",Australian Dollar,1.510141
US Dollar Exchange Rates Table,"May 23, 2023 09:40 UTC",Canadian Dollar,1.353597
US Dollar Exchange Rates Table,"May 23, 2023 09:40 UTC",Singapore Dollar,1.346349
US Dollar Exchange Rates Table,"May 23, 2023 09:40 UTC",Swiss Franc,0.900651
US Dollar Exchange Rates Table,"May 23, 2023 09:40 UTC",Malaysian Ringgit,4.569957
US Dollar Exchange Rates Table,"May 23, 2023 09:40 UTC",Japanese Yen,138.385362
US Dollar Exchange Rates Table,"May 23, 2023 09:40 UTC",Chinese Yuan Renminbi,7.052767
Header,Date,Currency,Rate
Euro Exchange Rates Table,"May 23, 2023 09:40 UTC",US Dollar,1.078400
Euro Exchange Rates Table,"May 23, 2023 09:40 UTC",British Pound,0.870734
Euro Exchange Rates Table,"May 23, 2023 09:40 UTC",Indian Rupee,89.315991
Euro Exchange Rates Table,"May 23, 2023 09:40 UTC",Australian Dollar,1.628537
Euro Exchange Rates Table,"May 23, 2023 09:40 UTC",Canadian Dollar,1.459720
Euro Exchange Rates Table,"May 23, 2023 09:40 UTC",Singapore Dollar,1.451904
Euro Exchange Rates Table,"May 23, 2023 09:40 UTC",Swiss Franc,0.971262
Euro Exchange Rates Table,"May 23, 2023 09:40 UTC",Malaysian Ringgit,4.928243
Euro Exchange Rates Table,"May 23, 2023 09:40 UTC",Japanese Yen,149.234826
Euro Exchange Rates Table,"May 23, 2023 09:40 UTC",Chinese Yuan Renminbi,7.605707
Header,Date,Currency,Rate
British Pound Exchange Rates Table,"May 23, 2023 09:40 UTC",US Dollar,1.238496
British Pound Exchange Rates Table,"May 23, 2023 09:40 UTC",Euro,1.148457
British Pound Exchange Rates Table,"May 23, 2023 09:40 UTC",Indian Rupee,102.575547
British Pound Exchange Rates Table,"May 23, 2023 09:40 UTC",Australian Dollar,1.870304
British Pound Exchange Rates Table,"May 23, 2023 09:40 UTC",Canadian Dollar,1.676425
British Pound Exchange Rates Table,"May 23, 2023 09:40 UTC",Singapore Dollar,1.667449
British Pound Exchange Rates Table,"May 23, 2023 09:40 UTC",Swiss Franc,1.115453
British Pound Exchange Rates Table,"May 23, 2023 09:40 UTC",Malaysian Ringgit,5.659874
British Pound Exchange Rates Table,"May 23, 2023 09:40 UTC",Japanese Yen,171.389732
British Pound Exchange Rates Table,"May 23, 2023 09:40 UTC",Chinese Yuan Renminbi,8.734824
